tick,nr_active,kernel,bitshift,lut,poly,errBS,errLUT,errPoly,errPctBS,errPctLUT,errPctPoly
48,0.547363,0.477539,0.482422,0.474609,0.473145,0.004883,0.002930,0.004395,1.0225,0.6135,0.9202
49,0.560547,0.484375,0.487305,0.482422,0.479492,0.002930,0.001953,0.004883,0.6048,0.4032,1.0081
50,0.567871,0.491211,0.492188,0.490723,0.486328,0.000977,0.000488,0.004883,0.1988,0.0994,0.9940
51,0.444336,0.487305,0.488770,0.487793,0.482422,0.001465,0.000488,0.004883,0.3006,0.1002,1.0020
52,0.572754,0.494629,0.494141,0.494141,0.488770,0.000488,0.000488,0.005859,0.0987,0.0987,1.1846
53,0.398438,0.486816,0.488281,0.487793,0.480957,0.001465,0.000977,0.005859,0.3009,0.2006,1.2036
54,0.530762,0.490723,0.490723,0.491211,0.484863,0.000000,0.000488,0.005859,0.0000,0.0995,1.1940
55,0.532227,0.494141,0.493652,0.495117,0.488281,0.000488,0.000977,0.005859,0.0988,0.1976,1.1858
56,0.527832,0.497070,0.495605,0.498047,0.490723,0.001465,0.000977,0.006348,0.2947,0.1965,1.2770
57,0.478516,0.495117,0.494629,0.498047,0.489258,0.000488,0.002930,0.005859,0.0986,0.5917,1.1834
58,0.501465,0.496094,0.495117,0.500000,0.489746,0.000977,0.003906,0.006348,0.1969,0.7874,1.2795
59,0.393555,0.487793,0.488770,0.491211,0.481445,0.000977,0.003418,0.006348,0.2002,0.7007,1.3013
60,0.506348,0.489746,0.489746,0.493164,0.483398,0.000000,0.003418,0.006348,0.0000,0.6979,1.2961
61,0.441406,0.485840,0.486816,0.487793,0.479492,0.000977,0.001953,0.006348,0.2010,0.4020,1.3065
62,0.511230,0.488281,0.488281,0.489258,0.481445,0.000000,0.000977,0.006836,0.0000,0.2000,1.4000
63,0.528320,0.491699,0.490723,0.490723,0.484863,0.000977,0.000977,0.006836,0.1986,0.1986,1.3903
64,0.445801,0.487793,0.488281,0.488281,0.481445,0.000488,0.000488,0.006348,0.1001,0.1001,1.3013
65,0.560547,0.493652,0.492676,0.493164,0.487305,0.000977,0.000488,0.006348,0.1978,0.0989,1.2859
66,0.513184,0.495605,0.493652,0.493652,0.489258,0.001953,0.001953,0.006348,0.3941,0.3941,1.2808
67,0.420898,0.489258,0.488770,0.486328,0.483398,0.000488,0.002930,0.005859,0.0998,0.5988,1.1976
68,0.408691,0.482422,0.483887,0.481445,0.477051,0.001465,0.000977,0.005371,0.3036,0.2024,1.1134
69,0.390625,0.474609,0.478516,0.473145,0.469727,0.003906,0.001465,0.004883,0.8230,0.3086,1.0288
70,0.452637,0.472656,0.476562,0.470703,0.467773,0.003906,0.001953,0.004883,0.8264,0.4132,1.0331
71,0.391602,0.465820,0.471191,0.465820,0.461426,0.005371,0.000000,0.004395,1.1530,0.0000,0.9434
72,0.488770,0.467773,0.472168,0.466309,0.463379,0.004395,0.001465,0.004395,0.9395,0.3132,0.9395
73,0.556641,0.475098,0.477539,0.471680,0.470703,0.002441,0.003418,0.004395,0.5139,0.7194,0.9250
74,0.423340,0.470703,0.474121,0.468262,0.466309,0.003418,0.002441,0.004395,0.7261,0.5187,0.9336
75,0.401367,0.464844,0.469727,0.462891,0.460449,0.004883,0.001953,0.004395,1.0504,0.4202,0.9454
76,0.467285,0.465332,0.469238,0.464355,0.460449,0.003906,0.000977,0.004883,0.8395,0.2099,1.0493
77,0.558594,0.473145,0.474609,0.471680,0.467773,0.001465,0.001465,0.005371,0.3096,0.3096,1.1352
78,0.417480,0.468262,0.471191,0.467773,0.463379,0.002930,0.000488,0.004883,0.6257,0.1043,1.0428
79,0.481445,0.469727,0.471680,0.469238,0.464355,0.001953,0.000488,0.005371,0.4158,0.1040,1.1435
80,0.477051,0.470703,0.472168,0.469238,0.464844,0.001465,0.001465,0.005859,0.3112,0.3112,1.2448
81,0.490234,0.472656,0.473145,0.470215,0.466309,0.000488,0.002441,0.006348,0.1033,0.5165,1.3430
82,0.497559,0.475098,0.474609,0.470703,0.468262,0.000488,0.004395,0.006836,0.1028,0.9250,1.4388
83,0.545898,0.480957,0.479004,0.478027,0.474121,0.001953,0.002930,0.006836,0.4061,0.6091,1.4213
84,0.533691,0.485352,0.482422,0.480469,0.478516,0.002930,0.004883,0.006836,0.6036,1.0060,1.4085
85,0.445312,0.481934,0.480469,0.477539,0.475586,0.001465,0.004395,0.006348,0.3040,0.9119,1.3171
86,0.468262,0.480469,0.479492,0.475098,0.474609,0.000977,0.005371,0.005859,0.2033,1.1179,1.2195
87,0.415039,0.475098,0.475586,0.471191,0.469727,0.000488,0.003906,0.005371,0.1028,0.8222,1.1305
88,0.488770,0.476562,0.476562,0.473633,0.470703,0.000000,0.002930,0.005859,0.0000,0.6148,1.2295
89,0.509766,0.479492,0.478516,0.475098,0.473145,0.000977,0.004395,0.006348,0.2037,0.9165,1.3238
90,0.454590,0.477051,0.477051,0.474121,0.471191,0.000000,0.002930,0.005859,0.0000,0.6141,1.2282
91,0.487305,0.478027,0.477539,0.473145,0.471680,0.000488,0.004883,0.006348,0.1021,1.0215,1.3279
92,0.498535,0.479980,0.478516,0.474121,0.473145,0.001465,0.005859,0.006836,0.3052,1.2208,1.4242
93,0.582031,0.488281,0.484863,0.480957,0.481445,0.003418,0.007324,0.006836,0.7000,1.5000,1.4000
94,0.503418,0.489746,0.485840,0.481934,0.482910,0.003906,0.007812,0.006836,0.7976,1.5952,1.3958
95,0.512695,0.491699,0.487305,0.482910,0.484863,0.004395,0.008789,0.006836,0.8937,1.7875,1.3903
96,0.453613,0.488281,0.485352,0.481445,0.481934,0.002930,0.006836,0.006348,0.6000,1.4000,1.3000
97,0.505859,0.489746,0.486328,0.481934,0.482910,0.003418,0.007812,0.006836,0.6979,1.5952,1.3958
98,0.497559,0.490723,0.486816,0.481445,0.483398,0.003906,0.009277,0.007324,0.7960,1.8905,1.4925
99,0.436523,0.486328,0.483398,0.476562,0.479004,0.002930,0.009766,0.007324,0.6024,2.0080,1.5060
