tick,nr_active,kernel,bitshift,lut,poly,errBS,errLUT,errPoly,errPctBS,errPctLUT,errPctPoly
240,0.295410,0.291016,0.310059,0.289062,0.285156,0.019043,0.001953,0.005859,6.5436,0.6711,2.0134
241,0.222656,0.285156,0.304688,0.283203,0.279785,0.019531,0.001953,0.005371,6.8493,0.6849,1.8836
242,0.206543,0.278809,0.298340,0.278320,0.273438,0.019531,0.000488,0.005371,7.0053,0.1751,1.9264
243,0.260742,0.277344,0.295898,0.275391,0.271973,0.018555,0.001953,0.005371,6.6901,0.7042,1.9366
244,0.299316,0.279297,0.296387,0.278809,0.273926,0.017090,0.000488,0.005371,6.1189,0.1748,1.9231
245,0.333984,0.283691,0.298828,0.281250,0.278320,0.015137,0.002441,0.005371,5.3356,0.8606,1.8933
246,0.265137,0.281738,0.296387,0.279297,0.276855,0.014648,0.002441,0.004883,5.1993,0.8666,1.7331
247,0.282227,0.282227,0.295898,0.280762,0.276855,0.013672,0.001465,0.005371,4.8443,0.5190,1.9031
248,0.334473,0.286621,0.298340,0.284668,0.280762,0.011719,0.001953,0.005859,4.0886,0.6814,2.0443
249,0.214844,0.280762,0.292969,0.279297,0.274902,0.012207,0.001465,0.005859,4.3478,0.5217,2.0870
250,0.308105,0.283203,0.293945,0.282715,0.276855,0.010742,0.000488,0.006348,3.7931,0.1724,2.2414
251,0.204102,0.276855,0.288574,0.274414,0.270508,0.011719,0.002441,0.006348,4.2328,0.8818,2.2928
252,0.270020,0.275879,0.287598,0.272949,0.270020,0.011719,0.002930,0.005859,4.2478,1.0619,2.1239
253,0.246094,0.273438,0.285156,0.270996,0.267578,0.011719,0.002441,0.005859,4.2857,0.8929,2.1429
254,0.313965,0.276855,0.287109,0.272461,0.270996,0.010254,0.004395,0.005859,3.7037,1.5873,2.1164
255,0.297852,0.278809,0.288086,0.274902,0.272461,0.009277,0.003906,0.006348,3.3275,1.4011,2.2767
256,0.264160,0.277344,0.286621,0.272461,0.271484,0.009277,0.004883,0.005859,3.3451,1.7606,2.1127
257,0.230469,0.273438,0.283203,0.269531,0.267578,0.009766,0.003906,0.005859,3.5714,1.4286,2.1429
258,0.310059,0.276855,0.284668,0.271973,0.270508,0.007812,0.004883,0.006348,2.8219,1.7637,2.2928
259,0.266602,0.275879,0.283691,0.272461,0.269531,0.007812,0.003418,0.006348,2.8319,1.2389,2.3009
260,0.240723,0.272949,0.280762,0.270508,0.266602,0.007812,0.002441,0.006348,2.8623,0.8945,2.3256
261,0.339844,0.278320,0.284668,0.274414,0.271973,0.006348,0.003906,0.006348,2.2807,1.4035,2.2807
262,0.313965,0.281250,0.286621,0.276367,0.274902,0.005371,0.004883,0.006348,1.9097,1.7361,2.2569
263,0.250977,0.278809,0.284668,0.274902,0.272461,0.005859,0.003906,0.006348,2.1016,1.4011,2.2767
264,0.270020,0.277832,0.283691,0.272949,0.271973,0.005859,0.004883,0.005859,2.1090,1.7575,2.1090
265,0.208984,0.271973,0.278809,0.268066,0.266602,0.006836,0.003906,0.005371,2.5135,1.4363,1.9749
266,0.304199,0.274902,0.280273,0.271484,0.269043,0.005371,0.003418,0.005859,1.9538,1.2433,2.1314
267,0.313477,0.278320,0.282715,0.276367,0.271973,0.004395,0.001953,0.006348,1.5789,0.7018,2.2807
268,0.205566,0.272461,0.277832,0.270996,0.266113,0.005371,0.001465,0.006348,1.9713,0.5376,2.3297
269,0.324219,0.276855,0.280762,0.273438,0.270508,0.003906,0.003418,0.006348,1.4109,1.2346,2.2928
270,0.339355,0.282227,0.284668,0.278320,0.275391,0.002441,0.003906,0.006836,0.8651,1.3841,2.4221
271,0.325195,0.286133,0.287109,0.280762,0.278809,0.000977,0.005371,0.007324,0.3413,1.8771,2.5597
272,0.303223,0.287598,0.288086,0.282227,0.280273,0.000488,0.005371,0.007324,0.1698,1.8676,2.5467
273,0.240234,0.283691,0.285156,0.277344,0.276855,0.001465,0.006348,0.006836,0.5164,2.2375,2.4096
274,0.276855,0.282715,0.284668,0.276855,0.276367,0.001953,0.005859,0.006348,0.6908,2.0725,2.2453
275,0.245117,0.279297,0.282227,0.274414,0.273438,0.002930,0.004883,0.005859,1.0490,1.7483,2.0979
276,0.297363,0.280762,0.283203,0.274902,0.274902,0.002441,0.005859,0.005859,0.8696,2.0870,2.0870
277,0.277344,0.280273,0.282715,0.273438,0.274414,0.002441,0.006836,0.005859,0.8711,2.4390,2.0906
278,0.237793,0.276855,0.279785,0.270020,0.270508,0.002930,0.006836,0.006348,1.0582,2.4691,2.2928
279,0.217773,0.271973,0.275879,0.264648,0.265625,0.003906,0.007324,0.006348,1.4363,2.6930,2.3339
280,0.242676,0.269531,0.273926,0.263184,0.263184,0.004395,0.006348,0.006348,1.6304,2.3551,2.3551
281,0.333984,0.274902,0.277344,0.267090,0.268066,0.002441,0.007812,0.006836,0.8881,2.8419,2.4867
282,0.308105,0.277832,0.279297,0.268555,0.270996,0.001465,0.009277,0.006836,0.5272,3.3392,2.4605
283,0.317383,0.281250,0.281738,0.272949,0.274414,0.000488,0.008301,0.006836,0.1736,2.9514,2.4306
284,0.242676,0.277832,0.279297,0.270508,0.270996,0.001465,0.007324,0.006836,0.5272,2.6362,2.4605
285,0.261719,0.276367,0.278320,0.268066,0.269531,0.001953,0.008301,0.006836,0.7067,3.0035,2.4735
286,0.231934,0.272461,0.275391,0.266113,0.266113,0.002930,0.006348,0.006348,1.0753,2.3297,2.3297
287,0.336914,0.277832,0.279297,0.270996,0.271484,0.001465,0.006836,0.006348,0.5272,2.4605,2.2847
288,0.303223,0.280273,0.280762,0.271484,0.273438,0.000488,0.008789,0.006836,0.1742,3.1359,2.4390
289,0.210938,0.274414,0.276855,0.268066,0.268066,0.002441,0.006348,0.006348,0.8897,2.3132,2.3132
290,0.315918,0.277832,0.279297,0.272461,0.271484,0.001465,0.005371,0.006348,0.5272,1.9332,2.2847
291,0.327148,0.282227,0.282227,0.277344,0.275391,0.000000,0.004883,0.006836,0.0000,1.7301,2.4221
292,0.309082,0.284668,0.283691,0.279297,0.277344,0.000977,0.005371,0.007324,0.3431,1.8868,2.5729
293,0.328125,0.288574,0.286621,0.284180,0.280762,0.001953,0.004395,0.007812,0.6768,1.5228,2.7073
294,0.310059,0.290527,0.288086,0.286621,0.282227,0.002441,0.003906,0.008301,0.8403,1.3445,2.8571
295,0.211914,0.284180,0.283691,0.278809,0.275879,0.000488,0.005371,0.008301,0.1718,1.8900,2.9210
296,0.230957,0.279785,0.280273,0.272949,0.271484,0.000488,0.006836,0.008301,0.1745,2.4433,2.9668
297,0.220703,0.274902,0.276855,0.269043,0.267090,0.001953,0.005859,0.007812,0.7105,2.1314,2.8419
298,0.257324,0.273438,0.275391,0.268066,0.266113,0.001953,0.005371,0.007324,0.7143,1.9643,2.6786
299,0.270508,0.272949,0.274902,0.269043,0.266113,0.001953,0.003906,0.006836,0.7156,1.4311,2.5045
